epochs	4-2-3	4-3-3	4-4-3	4-5-3	4-6-3	4-7-3	4-8-3	4-9-3	4-10-3
8050	0.058028	0.054188	0.016988	0.065841	0.030095	0.017264	0.018614	0.022218	0.018037
8100	0.052972	0.068518	0.016751	0.065784	0.02935	0.01684	0.018752	0.020957	0.01782
8150	0.052468	0.045308	0.016443	0.053732	0.026419	0.016909	0.018836	0.021782	0.017765
8200	0.046891	0.053039	0.016539	0.04959	0.024738	0.016981	0.017976	0.021355	0.01761
8250	0.044451	0.03707	0.016372	0.040762	0.025364	0.016937	0.018694	0.021926	0.017234
8300	0.046612	0.062342	0.016442	0.05402	0.02904	0.016453	0.018585	0.020523	0.017555
8350	0.059811	0.04425	0.01632	0.049495	0.027085	0.01665	0.018329	0.020804	0.017254
8400	0.057927	0.057437	0.016266	0.057483	0.026668	0.016252	0.018141	0.020642	0.017087
8450	0.064283	0.044546	0.016	0.051127	0.026678	0.016175	0.018138	0.020639	0.016701
8500	0.038689	0.055012	0.016077	0.051159	0.023662	0.016346	0.017107	0.019935	0.016895
8550	0.034862	0.059668	0.015919	0.05251	0.025461	0.016173	0.017705	0.020178	0.016747
8600	0.051498	0.051785	0.015796	0.06447	0.023285	0.016149	0.016906	0.020278	0.016402
8650	0.030847	0.052103	0.015786	0.048848	0.023027	0.015771	0.017431	0.020036	0.01642
8700	0.046153	0.042733	0.015534	0.050826	0.025125	0.015995	0.017342	0.019765	0.016379
8750	0.060539	0.041158	0.015496	0.055201	0.02373	0.015897	0.017282	0.018466	0.015941
8800	0.064503	0.043832	0.015484	0.061835	0.02344	0.015849	0.016571	0.019308	0.015613
8850	0.054866	0.051725	0.015296	0.055631	0.022498	0.015834	0.016644	0.018903	0.016024
8900	0.035263	0.054016	0.015269	0.041371	0.024085	0.015499	0.016696	0.018946	0.015908
8950	0.047638	0.034922	0.015243	0.056585	0.023007	0.015545	0.016757	0.018849	0.015633
9000	0.044543	0.045867	0.015183	0.056523	0.023384	0.015497	0.016758	0.018732	0.015659
9050	0.045986	0.044568	0.01511	0.038135	0.022801	0.01548	0.016326	0.018253	0.015565
9100	0.037505	0.051065	0.014872	0.052738	0.023042	0.015073	0.01639	0.017597	0.015468
9150	0.067885	0.067306	0.014974	0.059235	0.022543	0.015417	0.016174	0.018372	0.015366
9200	0.047683	0.03863	0.014829	0.053582	0.020231	0.015191	0.016123	0.017696	0.014998
9250	0.047889	0.048177	0.014839	0.069929	0.022367	0.015077	0.015537	0.018061	0.01495
